Circ. sanitaire;Nom_etablissement;Nombre_lits;latitude;longitude;X_EPSG26191;Y_EPSG26191;;type_etablissement
S.Sebt Od Nemma;DAR ESSALAM - Fkih Ben Saleh;16;32.292247;-6.700705;377364.8654470471;189328.3415010844;;clinique privée
Khouribga;CHIFA - Khouribga;30;32.890886;-6.908047;358799.8595550858;255952.52090849713;;clinique privée
Khouribga;MARJANE - Khouribga;22;32.88810578795691;-6.913105150959522;358322.32067329704;255651.1743707278;;clinique privée
Khouribga;DAKHLA - Khouribga;20;32.89157583163649;-6.909636124916494;358652.3408680472;256031.13981861807;;clinique privée
Khouribga;Akdital - Khouribga;100;32.896813294732624;-6.906769213535094;358928.8537590577;256607.85324652607;;clinique privée
Khouribga;Clinique multidisciplinaire-OCP - Khouribga;113;32.880852058807896;-6.906525414799657;358926.1095540045;254838.17269147828;;clinique privée
Khouribga;Al Ikhwa - Khouribga;45;32.90017032271539;-6.904760122383057;359122.110319576;256977.2789767876;;clinique privée
Khenifra;M. D'ACCOUCHEMENT - Khenifra;4;32.93279760343086;-5.667893725048359;474805.9984001988;259612.01455512882;;clinique privée
Khenifra;EL AMAL - Khenifra;20;32.93535709717154;-5.667521112757821;474841.56184251676;259895.6821243029;;clinique privée
Khenifra;ACHIFFA (KARRAOUA) - Khenifra;12;32.93792490655205;-5.662693914602032;475293.56632263644;260179.21455324127;;clinique privée
Khenifra;LE CEDRE - Khenifra;8;32.93637892981098;-5.66058342290685;475490.43943575193;260007.32591230955;;clinique privée
Khouribga;MOULAY YOUSSEF - Khouribga;50;32.891963902367806;-6.911093635107382;358516.6493830803;256076.13161058753;;clinique privée
Fquih Ben Salah;LES OLIVIERS YASMINE - Fkih Ben Saleh;16;32.51052925433402;-6.678035827342064;379795.8734944249;213500.3893899221;;clinique privée
Beni Mellal;NOUR - Beni Mellal;10;32.31957658409038;-6.385739470908604;407052.642648762;192033.25227592076;;clinique privée
Beni Mellal;MALAK - Beni Mellal;24;32.332068066884275;-6.3670525799872655;408824.6395108953;193401.63480441878;;clinique privée
Beni Mellal;JABRANE - Beni Mellal;57;32.326823191861145;-6.371943582046153;408358.85482684703;192824.45017170685;;clinique privée
Beni Mellal;AL ADDARISSA - Beni Mellal;11;32.33354890648104;-6.367882386034045;408748.0561388636;193566.5290121943;;clinique privée
Beni Mellal;BOUHOU - Beni Mellal;13;32.33667267973448;-6.372068794912766;408357.2401212978;193916.50183224637;;clinique privée
Beni Mellal;IBN SINA - Beni Mellal;15;32.327923539407045;-6.358096415899588;409663.42647852673;192934.3840511826;;clinique privée
Beni Mellal;ERRAZI - Beni Mellal;15;32.32905885619137;-6.36699839855127;408826.6479209386;193067.9777963037;;clinique privée
Oued Zem;Le Lac - Khouribga;26;32.861786321864635;-6.565440047129451;390807.29949261434;252316.1263079081;;clinique privée
Beni Mellal;ATLAS - Beni Mellal;35;32.330681232039346;-6.360782384231142;409413.4106783674;193242.43459116953;;clinique privée
Beni Mellal;AL CHIFA - Beni Mellal;15;32.33157841482472;-6.361984059263109;409301.2172683976;193342.94096161763;;clinique privée
Beni Mellal;ASSALAM - Beni Mellal;17;32.332085871332346;-6.360893239726025;409404.4100773736;193398.25308586104;;clinique privée
Beni Mellal;HÃīpital PrivÃĐ Al-Farabi - Beni Mellal;111;32.322463302703966;-6.377566538818921;407825.03110146476;192346.0445591262;;clinique privée
Beni Mellal;Clinique International Beni Mellal - Beni Mellal;80;32.341631722297286;-6.368648276318235;408684.28527453216;194463.2811419721;;clinique privée
Beni Mellal;HÃīpital PrivÃĐ de Beni Mellal (Akdital) - Beni Mellal;150;32.32912381636561;-6.359158442944143;409564.6807714782;193068.36869382285;;clinique privée
Beni Mellal;BEN ASSOU - Beni Mellal;20;32.32717518474603;-6.375363397261691;408037.3081927753;192866.47668530873;;clinique privée
Beni Mellal;BENI MELLAL - Beni Mellal;30;32.3321994239321;-6.36467009687156;409049.0270550732;193414.12178756867;;clinique privée
Beni Mellal;AMAL - Beni Mellal;20;32.33200149234936;-6.359744481092156;409512.45179939806;193387.90352092727;;clinique privée
Béni Mellal;Hôpital Régional de Béni Mellal;445;32.329047;-6.352915;410152,2916;193054,4684;;hopital public
Khouribga;Hôpital Hassan II (CHP);410;32.892195;-6.906203;358974,4166;256095,1367;;hopital public
Khénifra;Hôpital Provincial de Khénifra;255;32.968216;-5.663122;475262,0139;263537,5254;;hopital public
Fkih Ben Saleh;Hôpital Provincial de Fkih Ben Saleh;66;32.504295;-6.685565;379080,1211;212817,9653;;hopital public
Azilal;Hôpital Provincial d'Azilal;130;31.963372;-6.564132;389818,5734;152715,8695;;hopital public
Khenifra;clinique simule 1;40;32.938293;-5.666568;;;;clinique simulée
souk sebt;clinique simule 2;40;32.293866;-6.702381;;;;clinique simulée
demnate;clinique simule 3;40;31.733306;-7.003886;;;;clinique simulée
